Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Dalby (T),4,6,23,45,112,53,106,69,97,79,130,113,62,59,26,9,10,3,69,3004,
,Dalrymple (S),0,0,4,19,20,17,27,14,32,31,31,27,31,28,16,7,4,0,73,1388,
,Dauan (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,
,Diamantina (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,
,Doomadgee (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,
,Douglas (S),3,0,17,30,59,24,63,49,96,72,89,143,110,135,75,42,30,38,89,5764,
,Duaringa (S),3,4,8,18,51,21,21,19,25,21,37,61,31,49,11,5,4,12,72,2616,
,Eacham (S),4,3,7,24,64,28,62,39,57,55,56,52,31,40,18,19,9,7,79,2257,
,Eidsvold (S),0,0,0,4,9,0,3,0,0,0,0,0,0,3,4,0,0,0,21,367,
,Emerald (S),10,4,18,15,52,29,75,46,96,80,114,179,162,256,205,87,60,37,137,4867,
,Erub (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,
,Esk (S),8,9,46,99,194,99,161,101,190,124,165,204,136,190,91,34,17,11,157,4542,
,Etheridge (S),0,0,0,7,9,3,3,3,4,0,3,0,0,0,0,0,0,4,18,527,
,Fitzroy (S),4,3,18,36,113,51,135,75,135,86,151,158,92,120,53,24,16,9,130,2641,
,Flinders (S),0,0,6,11,22,8,15,3,3,3,3,4,0,3,0,0,0,0,38,838,
,Gatton (S),10,4,41,69,148,83,130,107,167,114,138,203,137,162,80,25,21,16,172,4243,
,Gayndah (S),0,0,6,14,39,16,32,12,19,15,14,14,4,7,6,0,4,0,32,1030,
,Gladstone (C),18,10,38,62,159,105,203,206,307,325,439,611,385,460,224,74,57,35,290,8108,
,Gold Coast (C),326,197,581,1091,2171,1103,1984,1740,2827,2692,3865,6375,5159,8804,6609,3781,2488,1898,4923,162986,
,Goondiwindi (T),3,0,3,10,24,20,28,42,52,35,67,75,33,29,15,5,5,3,32,1498,
,Hammond (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,
,Herberton (S),7,6,20,36,65,35,58,29,41,18,33,29,16,24,11,5,7,9,61,1975,
,Hervey Bay (C),47,29,118,219,425,195,297,275,385,335,442,546,422,601,306,105,73,44,443,19836,
,Hinchinbrook (S),4,5,22,35,114,46,96,49,84,51,73,53,40,29,24,6,9,3,124,4759,
,Hope Vale (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,
,Iama (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,
,Ilfracombe (S),0,0,0,0,6,3,0,0,3,0,0,0,0,3,0,0,0,0,3,139,
,Inglewood (S),0,4,3,18,24,7,24,13,20,13,9,5,10,3,4,3,0,0,46,1129,
,Injinoo (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,
