Industry of Employment (ANZSIC93) (IND93P),lga,Not stated,Not applicable,Agriculture,Services to Agriculture; Hunting and Trapping,Forestry and Logging,Commercial Fishing,"Agriculture, Forestry and Fishing, undefined",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Other Mining,Services to Mining,"Mining, undefined","Food, Beverage and Tobacco Manufacturing","Textile, Clothing, Footwear and Leather Manufacturing",Wood and Paper Product Manufacturing,"Printing, Publishing and Recorded Media","Petroleum, Coal, Chemical and Associated Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,Machinery and Equipment Manufacturing,Other Manufacturing,"Manufacturing, undefined",Electricity and Gas Supply,"Water Supply, Sewerage and Drainage Services","Electricity, Gas and Water Supply, undefined",General Construction,Construction Trade Services,"Construction, undefined",Basic Material Wholesaling,Machinery and Motor Vehicle Wholesaling,Personal and Household Good Wholesaling,"Wholesale Trade, undefined",Food Retailing,Personal and Household Good Retailing,Motor Vehicle Retailing and Services,"Retail Trade, undefined","Accommodation, Cafes and Restaurants",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Services to Transport,Storage,"Transport and Storage, undefined",Communication Services,Finance,Insurance,Services to Finance and Insurance,"Finance and Insurance, undefined",Property Services,Business Services,"Property and Business Services, undefined",Government Administration,Defence,"Government Administration and Defence, undefined",Education,Health Services,Community Services,"Health and Community Services, undefined","Motion Picture, Radio and Television Services","Libraries, Museums and the Arts",Sport and Recreation,"Cultural and Recreational Services, undefined",Personal Services,Other Services,Private Households Employing Staff,"Personal and Other Services, undefined",Non-Classifiable Economic Units,
,Lismore (C),30,0,903,33,37,0,5,0,0,0,12,0,0,418,31,129,247,34,43,168,115,66,117,76,35,0,288,476,11,149,207,274,37,1249,1555,714,103,755,443,6,0,16,0,39,11,10,281,305,124,119,8,197,1132,3,761,35,0,2249,2803,853,86,68,101,132,5,343,327,0,0,102,
,Lithgow (C),6,0,184,0,0,0,0,768,0,5,20,23,22,143,6,32,68,28,28,128,52,5,50,360,13,3,94,217,7,48,43,31,5,483,374,173,40,391,166,104,3,0,0,9,6,0,55,74,65,16,0,67,372,0,341,12,0,472,477,188,19,13,25,57,3,107,297,0,0,41,
,Liverpool (C),81,0,543,38,3,3,3,3,0,3,8,7,4,1365,332,707,945,909,394,856,1622,565,635,191,254,0,1387,1587,92,576,770,1143,260,2751,2973,1586,326,1053,1922,139,5,18,7,536,239,61,365,419,124,271,28,725,3415,0,1325,1939,3,4109,5208,1454,195,83,70,464,12,596,760,0,0,449,
,Liverpool Plains (A),9,0,793,37,0,0,4,23,0,0,14,23,0,22,3,15,14,3,3,4,36,3,12,13,5,0,38,59,0,42,17,41,3,93,78,99,15,100,89,89,0,0,0,3,19,0,28,24,0,3,0,26,74,0,120,0,0,198,157,44,11,0,0,18,0,20,28,0,0,29,
,Lockhart (A),5,0,402,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,0,0,7,17,3,17,9,3,3,34,19,16,0,36,41,0,0,0,0,0,12,0,17,12,0,0,0,0,21,0,48,0,0,80,36,30,0,0,0,11,0,6,5,0,0,4,
,Maitland (C),24,0,206,20,25,0,5,140,0,3,36,49,110,157,74,83,129,193,262,405,545,63,239,114,25,3,655,790,39,227,336,131,38,1780,1786,607,181,811,663,82,3,11,0,57,18,15,157,272,47,108,11,388,1451,0,1012,5,6,1692,1640,655,58,29,36,235,5,367,395,0,0,183,
,Manly (A),15,0,12,0,3,0,0,0,0,0,0,5,0,33,44,17,162,246,4,9,29,25,30,0,57,0,337,327,13,23,50,233,24,540,714,101,49,1162,49,0,16,3,0,101,0,7,76,187,40,208,11,369,1364,3,357,0,0,862,1360,330,59,31,100,171,9,337,194,0,0,119,
,Marrickville (A),33,0,48,6,4,0,0,0,0,0,0,0,0,759,1034,174,805,146,105,190,444,407,346,11,0,3,443,738,35,231,328,1596,145,1119,1624,543,152,1032,493,414,28,11,0,167,66,22,181,273,47,104,15,281,1836,3,715,8,0,1893,931,778,84,122,305,143,48,666,609,0,0,306,
,Mid-Western Regional (A),23,0,1013,46,0,3,8,458,0,19,10,104,15,202,17,18,33,56,150,107,40,12,49,53,24,0,164,272,14,123,68,81,5,547,536,252,44,558,156,17,4,6,3,17,0,0,69,68,13,4,0,114,370,0,279,0,0,574,458,187,33,9,18,55,0,120,89,0,0,75,
,Moree Plains (A),15,0,1342,180,0,0,14,0,0,0,0,0,0,39,32,6,23,32,7,57,49,9,29,26,9,0,89,197,12,116,125,23,12,264,245,214,52,215,132,3,0,4,3,17,31,0,62,106,11,9,0,64,266,0,292,0,0,490,253,205,15,17,18,20,0,71,142,0,0,52,
,Mosman (A),14,0,13,3,7,0,0,0,0,0,3,0,3,12,24,4,69,3,3,3,38,14,17,0,0,0,287,234,7,15,31,138,21,356,649,145,68,570,16,3,3,0,0,51,0,7,29,136,20,161,18,294,1028,7,182,247,0,599,583,211,48,50,298,136,10,265,208,0,0,107,
,Murray (A),7,0,366,15,6,0,3,0,0,0,0,0,0,56,3,19,3,36,6,51,34,3,20,6,7,0,50,81,0,18,5,18,0,42,42,18,12,484,69,0,0,0,0,3,6,3,10,3,0,0,0,12,50,0,71,0,0,58,42,63,0,0,3,98,0,30,12,0,0,14,
,Murrumbidgee (A),4,0,487,27,0,0,0,0,0,0,0,0,0,107,0,10,3,0,0,0,7,3,7,3,13,0,5,23,0,23,9,14,0,15,16,15,4,43,27,0,0,0,0,0,3,0,4,3,0,0,0,0,20,0,32,0,0,67,8,21,0,0,0,4,0,7,7,0,0,9,
,Muswellbrook (A),14,0,480,15,0,0,3,1328,5,0,8,104,76,160,4,5,23,33,11,119,166,6,69,589,25,3,221,291,27,93,173,31,8,392,367,196,48,337,155,15,3,0,0,4,7,3,35,91,10,4,0,128,428,0,173,17,0,396,361,162,14,5,12,67,0,85,169,0,0,85,
,Nambucca (A),11,0,311,8,3,24,0,0,0,3,11,0,0,43,10,48,30,9,15,38,114,28,33,15,4,0,97,137,3,27,43,63,5,401,261,146,37,405,121,5,0,0,0,24,8,7,41,105,9,15,0,85,207,0,183,3,0,454,328,330,24,17,7,30,4,91,78,0,0,27,
,Narrabri (A),18,0,1220,159,9,0,11,14,0,0,0,31,6,60,41,4,20,19,10,54,30,6,39,39,7,0,86,155,9,117,75,32,3,279,249,216,38,239,167,44,0,0,3,9,76,3,47,53,7,3,0,35,308,3,208,0,0,377,286,131,22,5,17,20,0,75,55,0,0,62,
,Narrandera (A),8,0,467,9,3,3,0,0,0,0,0,0,0,33,0,21,11,4,0,27,3,9,6,8,7,0,36,53,0,30,20,6,0,110,104,55,15,142,84,3,0,0,0,6,13,0,14,16,3,3,0,3,60,0,147,0,0,165,120,90,7,0,4,9,0,44,42,0,0,12,
,Narromine (A),6,0,708,45,0,0,5,0,0,0,0,0,0,15,8,3,5,7,4,8,21,3,19,23,3,0,17,44,0,51,17,15,0,109,47,75,12,92,74,0,0,5,0,0,19,0,8,33,0,0,0,16,58,0,99,0,0,184,92,85,12,0,3,13,0,19,25,0,0,24,
,Newcastle (C),70,0,531,16,16,17,3,103,3,9,8,40,75,752,173,174,605,662,221,3224,2042,272,460,1216,393,6,1769,2144,134,695,1633,1106,251,4002,4456,1782,408,3933,1253,1281,39,41,0,895,99,66,1296,1818,1015,675,42,1272,8305,9,3957,147,0,6981,10233,3369,416,323,218,758,52,1179,1371,0,3,631,
,North Sydney (A),81,0,61,9,3,0,3,42,11,17,10,72,16,207,63,310,1492,207,52,79,338,61,166,32,10,4,1515,644,93,347,1017,691,116,1333,2284,194,256,2629,158,124,90,92,0,1179,43,30,3631,1556,2363,2926,150,1275,19512,15,1100,553,3,2579,2341,631,146,923,308,749,65,795,834,4,5,1396,
,Oberon (A),8,0,308,6,79,0,0,0,0,0,7,0,0,18,53,439,11,7,8,41,13,0,32,8,14,0,28,64,5,24,4,14,0,71,49,39,9,145,90,0,0,0,0,16,0,0,12,12,3,0,0,16,63,0,76,0,0,120,62,12,0,0,29,0,0,29,50,0,0,23,
,Orange (C),19,0,339,27,4,0,4,0,0,497,10,42,62,194,38,119,100,69,51,191,761,61,107,136,3,0,351,469,21,183,280,153,29,944,1307,514,87,766,412,51,0,60,0,56,29,5,118,261,81,84,3,233,1044,0,1163,18,0,1496,2097,606,118,98,33,134,0,333,213,0,0,87,
,Palerang (A),8,0,388,16,13,0,3,3,0,11,17,0,0,28,5,15,21,0,12,6,14,19,23,6,8,0,61,103,10,27,14,9,4,120,106,41,13,173,66,0,0,3,0,8,6,0,31,12,3,13,0,23,135,0,126,0,0,138,101,29,4,0,16,12,0,30,18,0,0,29,
,Parkes (A),17,0,832,22,0,0,0,0,0,237,7,27,37,5,3,33,15,17,19,80,53,6,32,50,13,0,97,147,9,75,95,37,3,334,387,182,48,321,117,118,0,3,0,9,40,5,38,67,9,9,0,37,196,0,328,3,0,402,385,222,34,11,7,32,0,85,79,0,0,35,
,Parramatta (C),82,0,50,14,3,0,3,7,0,0,21,28,9,1534,256,183,1285,2760,698,904,2172,277,615,108,76,12,1990,2139,116,688,1812,2217,340,2508,4486,2148,495,2853,1328,600,12,36,0,514,148,58,2095,4171,2094,1853,83,1358,8275,6,6655,132,13,4437,12052,2507,429,510,191,811,13,1254,3492,0,0,818,
,Penrith (C),53,0,459,28,5,0,0,0,0,21,134,9,12,430,253,554,271,622,688,1775,852,347,660,167,302,7,1130,2252,97,564,774,565,161,3533,4452,1716,386,2509,1410,234,5,5,0,164,86,36,590,747,105,229,12,790,2863,3,2691,375,0,5475,5217,1577,165,75,101,706,27,949,1457,0,0,440,
,Pittwater (A),36,0,58,16,16,3,0,0,0,0,0,4,0,64,64,61,209,131,13,152,545,141,152,5,17,0,686,1030,30,168,260,541,104,1145,1216,403,142,1096,104,0,19,15,0,91,29,8,88,235,48,186,18,414,1847,4,458,4,0,1020,1485,400,78,137,128,315,14,501,171,3,0,262,
,Port Stephens (A),18,0,222,24,17,136,3,11,0,21,47,5,44,38,37,183,66,97,101,1776,1329,86,233,6,23,0,509,841,54,139,211,141,26,1592,1306,427,103,1466,543,3,54,156,0,135,18,7,98,183,28,49,3,370,1069,0,656,2378,0,1150,648,620,46,38,66,278,3,356,230,0,0,140,
,Queanbeyan (C),16,0,28,14,0,0,0,0,0,0,21,3,3,47,30,213,33,38,79,317,235,90,213,237,10,0,463,669,54,114,138,94,27,679,562,287,67,369,421,0,0,3,0,46,18,15,78,67,17,44,0,196,531,3,640,75,3,614,600,277,16,3,69,104,4,193,251,0,0,116,
,Randwick (C),33,0,36,8,0,0,0,0,0,3,0,0,0,117,72,153,276,401,111,58,267,64,100,85,98,0,741,942,41,114,283,341,115,1258,1291,330,127,2346,729,14,47,21,0,1013,137,35,200,330,25,157,20,578,2636,0,1335,356,0,6951,6791,968,200,167,201,816,25,699,1080,5,0,280,
,Richmond Valley (A),19,0,532,15,39,9,5,0,3,0,13,3,0,813,56,92,18,15,16,35,15,17,38,26,14,0,72,194,8,88,39,131,3,472,317,196,28,312,154,46,0,0,0,13,8,0,89,63,15,4,0,81,188,0,268,6,0,605,469,292,24,0,14,58,0,87,92,0,0,37,
,Rockdale (C),28,0,32,0,0,0,0,0,0,0,3,0,0,325,162,86,311,146,38,244,361,176,190,9,13,0,544,722,37,158,267,375,89,1532,1838,888,171,1503,638,43,16,1170,0,1127,28,45,407,251,46,156,21,497,2159,0,1953,23,3,1686,1138,790,90,22,63,237,16,370,319,0,0,254,
,Ryde (C),56,0,106,11,5,3,5,8,13,0,4,16,9,789,78,113,798,1698,51,129,1459,234,358,215,331,3,1443,1562,99,260,5578,2714,237,2017,3275,948,373,1954,251,27,17,10,0,219,86,25,1000,612,109,274,34,843,9797,0,1252,35,0,5400,5275,1509,313,1116,111,508,15,761,722,0,0,1009,
,Shellharbour (C),9,0,63,6,0,4,0,3,0,11,100,3,8,43,39,80,39,32,92,105,69,38,62,67,12,0,318,629,29,74,117,106,17,1436,1352,508,121,692,297,3,3,17,0,34,4,7,102,140,44,53,3,191,570,0,571,0,0,1545,1000,537,38,36,25,243,11,263,343,0,0,84,
,Shoalhaven (C),35,0,507,45,15,57,5,4,0,3,23,8,16,270,79,383,209,153,118,447,394,142,214,120,90,0,783,1114,30,248,206,214,43,2064,2179,906,204,1992,543,14,21,39,0,124,14,10,214,295,60,131,7,488,1633,3,1165,1247,0,2200,2532,974,92,82,127,357,12,581,393,3,0,198,
,Singleton (A),13,0,505,28,3,0,5,3293,3,11,12,315,152,194,8,17,23,143,19,136,301,27,93,199,19,0,225,358,30,153,407,57,12,558,494,323,59,433,278,17,6,3,0,18,0,9,54,85,39,19,0,200,762,0,259,423,0,530,348,223,24,22,15,56,0,125,88,0,0,135,
,Snowy River (A),10,0,201,4,0,0,0,0,0,3,9,0,0,11,4,3,8,0,5,11,6,3,8,35,0,0,104,100,7,10,7,18,6,117,183,50,24,1331,26,3,0,0,3,44,0,0,26,16,0,5,0,52,148,0,182,3,0,139,75,52,0,7,71,578,3,117,35,0,0,26,
,Strathfield (A),30,0,35,8,0,0,0,0,0,0,0,4,0,543,37,69,332,171,91,99,285,56,149,491,4,0,588,501,29,169,449,1832,117,684,1354,421,138,420,905,440,4,0,0,156,108,22,1400,371,31,63,11,329,1149,0,177,0,0,1438,478,267,38,24,31,159,6,210,396,0,0,223,
,Sutherland Shire (A),47,0,47,31,3,28,0,9,9,11,8,7,8,481,191,200,381,1590,172,775,1032,628,583,49,102,0,1573,2386,126,405,927,975,284,4640,5437,1745,337,2822,753,186,25,24,3,301,49,38,412,721,221,572,36,1022,5065,11,1647,14,0,4709,4711,1758,218,104,179,859,28,1416,938,6,0,541,
,Sydney (C),287,0,173,91,13,23,8,160,96,45,30,313,30,1045,1604,200,10023,636,328,481,3261,840,704,1972,1231,21,5149,2697,322,1247,3688,7181,812,5172,14617,1899,1435,21376,2152,4967,1115,995,13,7183,480,252,9934,29812,13071,24529,1309,6597,74085,68,21012,4447,18,17209,14348,4435,698,5634,4713,4368,361,3008,8082,3,9,3640,
,Tamworth Regional (A),38,0,1701,71,10,3,9,0,0,0,18,0,15,1068,48,122,146,82,105,232,289,95,132,176,28,0,450,610,24,307,335,261,44,1229,1554,768,157,1131,757,36,3,96,0,69,15,14,217,339,149,115,5,268,1152,3,1014,144,3,1854,2075,757,72,90,43,214,15,416,382,0,3,157,
,Temora (A),0,0,489,16,0,0,0,0,0,0,0,0,0,25,0,4,12,3,0,7,20,0,5,22,29,0,39,60,0,55,58,14,0,161,116,77,10,103,65,20,0,4,0,3,22,0,22,36,4,11,0,18,105,0,87,0,0,192,141,72,4,0,11,18,0,23,17,0,0,16,
,Tenterfield (A),6,0,422,3,14,0,0,0,0,3,3,0,0,5,0,48,6,0,0,10,15,3,12,9,4,0,43,81,3,21,6,26,0,103,118,78,22,138,49,0,0,0,0,7,3,0,14,15,4,0,0,15,80,0,96,0,0,136,146,73,8,0,17,11,0,27,19,0,0,16,
,Tumbarumba (A),3,0,325,8,28,0,0,0,0,0,4,10,0,20,0,180,4,0,0,4,8,0,4,58,0,0,20,30,3,18,4,3,0,63,43,28,3,86,59,0,0,3,0,3,0,0,10,9,3,0,0,14,34,0,70,0,0,79,60,29,3,0,4,7,0,13,56,0,0,12,
,Tumut Shire (A),5,0,531,24,197,5,6,0,0,0,0,0,0,12,9,482,18,8,16,60,12,7,33,94,14,0,85,130,16,69,26,111,3,256,219,102,30,242,154,0,0,0,0,12,0,0,33,47,3,8,0,29,174,0,150,9,0,312,191,187,8,3,42,26,0,52,48,0,0,51,
,Tweed (A),39,0,777,25,23,25,9,0,0,9,15,3,3,299,80,193,162,47,97,133,175,133,121,80,48,0,707,986,41,231,146,291,41,1778,1927,738,191,1945,586,3,13,5,0,85,21,4,172,272,43,88,16,477,1259,3,1112,8,3,1865,2159,958,118,67,105,297,11,465,379,0,0,166,
,Upper Hunter Shire (A),15,0,1152,72,3,0,3,19,0,0,24,3,0,257,53,0,11,8,3,48,29,3,28,4,9,0,88,130,7,74,13,39,3,272,208,97,23,258,142,3,0,3,0,12,0,0,28,42,6,21,0,29,138,0,190,4,0,395,282,165,16,0,18,111,0,68,32,0,0,47,
,Upper Lachlan (A),9,0,837,30,0,0,3,0,0,0,0,0,0,11,3,3,7,21,0,3,4,0,5,13,3,0,43,60,0,35,16,0,0,58,54,57,6,98,39,0,0,0,0,4,0,0,17,9,3,0,0,9,76,0,114,0,0,133,127,38,10,3,8,3,0,10,19,0,0,18,
,Uralla (A),3,0,497,20,0,0,0,0,0,0,0,0,0,10,0,5,3,3,0,30,24,12,4,0,4,0,19,38,0,7,0,19,3,56,44,28,9,59,23,0,0,0,0,6,0,0,13,9,0,0,0,25,40,0,87,0,0,115,46,21,6,0,8,17,0,7,16,0,0,8,
,Urana (A),0,0,289,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,10,0,8,0,8,3,3,0,18,45,0,0,0,0,0,12,0,12,0,0,0,0,0,13,0,31,0,0,44,31,6,0,0,0,4,0,3,3,0,0,3,
,Wagga Wagga (C),35,0,933,54,5,5,3,0,0,0,19,0,0,784,95,180,201,138,53,217,343,142,151,167,48,3,525,792,29,351,412,305,53,1621,2018,891,157,1377,661,87,0,116,0,120,44,13,302,365,96,165,9,346,1633,0,1146,1583,0,2772,2338,947,86,91,49,214,7,459,471,0,0,199,
,Wakool (A),7,0,703,29,3,4,4,0,0,0,0,0,0,18,0,19,7,0,7,0,18,13,6,11,16,0,15,43,0,28,3,14,3,54,48,33,8,231,84,0,0,0,0,0,3,0,3,6,0,3,0,8,40,0,73,0,0,115,58,27,5,0,4,28,0,14,12,0,0,12,
,Walcha (A),4,0,530,11,34,0,0,0,0,0,0,0,0,0,0,31,8,9,3,4,0,0,3,6,3,0,27,29,6,28,0,8,0,63,29,38,5,51,53,0,0,0,0,0,0,3,10,11,7,0,0,3,54,0,61,0,0,82,61,23,0,0,13,3,0,10,9,0,0,7,
,Walgett (A),7,0,642,66,0,0,6,0,0,0,48,0,0,9,3,4,3,3,4,10,9,18,7,10,5,0,36,38,0,23,4,30,0,85,66,64,19,142,49,0,0,0,0,3,14,0,17,13,0,0,3,6,60,0,146,0,0,252,174,87,14,0,4,35,0,22,69,0,0,29,
,Warren (A),3,0,427,50,0,0,7,0,0,0,0,0,0,3,12,0,0,9,0,0,6,0,11,10,8,0,8,20,0,8,21,6,0,44,13,35,5,35,23,0,0,0,0,0,0,0,4,9,0,0,0,0,47,0,71,0,0,80,68,19,0,0,3,3,0,8,7,0,0,5,
,Warringah (A),62,0,67,49,31,14,3,0,0,3,9,9,7,242,150,219,853,668,112,550,1232,497,555,82,65,9,1220,1860,82,567,1731,2650,294,2534,4722,1204,378,2017,506,0,13,6,0,219,96,30,569,572,131,390,27,837,4893,4,1033,10,0,3360,2116,2130,203,296,215,743,29,999,745,4,0,607,
,Warrumbungle Shire (A),4,0,962,13,26,0,8,0,0,0,0,0,0,39,5,25,7,0,12,4,7,0,10,26,8,0,40,50,0,55,16,20,0,172,125,98,26,207,94,3,0,0,0,8,6,0,27,13,0,3,0,19,91,0,166,0,0,372,276,50,17,0,17,12,0,21,29,0,0,28,
,Waverley (A),28,0,18,6,0,0,0,0,0,0,3,0,0,108,52,20,205,30,4,10,44,26,32,3,61,3,491,440,20,33,81,477,58,1369,2679,125,183,1553,156,30,3,13,4,451,5,5,112,267,82,239,23,455,2085,8,806,0,0,1604,1497,636,103,182,177,428,26,658,236,3,0,223,
,Weddin (A),3,0,583,22,0,0,0,0,0,0,0,0,0,8,0,4,7,0,0,6,9,0,6,8,0,0,12,19,0,27,4,3,0,60,32,27,8,59,39,0,0,0,0,0,7,0,8,14,0,0,0,3,38,0,63,0,0,112,60,24,8,0,3,5,3,10,11,0,0,8,
,Wellington (A),12,0,526,13,0,0,0,9,0,0,0,0,0,24,3,7,9,5,8,14,33,6,11,12,9,0,58,67,0,17,13,10,0,121,77,59,9,136,33,3,0,0,0,3,3,0,15,14,0,0,0,20,96,0,165,0,0,226,145,90,12,0,12,9,4,31,30,0,0,12,
,Wentworth (A),0,0,670,26,0,0,0,0,0,37,3,3,11,217,4,0,0,0,6,18,14,3,20,35,20,0,33,56,4,32,17,142,3,76,29,56,10,207,161,0,10,0,0,6,0,0,8,7,0,4,0,21,73,0,151,0,0,167,73,66,8,0,15,16,0,15,49,0,0,36,
,Willoughby (C),60,0,39,8,14,10,4,3,12,3,3,35,17,464,87,130,1339,209,174,227,1015,166,240,259,50,8,1507,951,110,245,1630,1067,216,1522,4274,1375,316,1445,295,68,163,16,7,313,74,43,3270,1140,1180,684,69,961,7790,8,1255,8,4,2168,6518,893,216,2300,164,383,25,827,633,3,0,719,
,Wingecarribee (A),22,0,699,51,12,0,0,31,0,4,22,3,16,107,34,93,123,46,331,203,707,77,115,34,38,0,386,626,18,154,118,249,21,936,1106,403,97,1167,278,151,3,8,0,56,6,9,123,210,32,66,15,319,960,0,383,8,0,1320,1209,510,62,36,85,152,10,353,193,5,0,117,
,Wollondilly (A),8,0,468,29,0,4,3,1159,4,0,3,14,18,429,126,40,17,32,171,120,129,49,87,58,76,0,328,479,23,126,47,85,17,583,308,204,33,347,355,13,3,0,4,22,4,12,61,53,23,30,3,101,491,0,360,0,3,733,259,253,21,7,31,116,0,154,124,0,0,77,
,Wollongong (C),79,0,100,23,17,28,0,910,0,4,8,96,40,271,429,251,400,223,404,6977,1031,238,638,334,163,0,1632,2561,181,539,857,720,108,3746,4451,1554,386,3476,1384,531,25,9,96,540,59,47,867,1083,1105,509,22,1192,5625,3,3089,116,3,7043,6588,2425,288,263,236,841,30,1230,1218,0,3,595,
,Woollahra (A),39,0,34,0,0,0,3,0,0,0,0,6,3,46,99,10,150,14,9,14,49,49,30,5,4,0,656,387,22,60,52,298,52,713,1489,111,121,1522,38,19,21,3,0,191,3,9,76,378,54,306,56,871,1983,4,281,461,0,1670,1094,486,88,115,260,312,19,678,282,12,0,258,
,Wyong (A),44,0,275,21,6,27,3,128,0,0,11,12,24,1075,81,461,247,238,255,642,792,222,376,433,90,4,995,1482,89,301,420,483,103,3501,3478,901,264,2209,863,74,12,14,0,102,97,19,346,553,85,225,13,682,1997,3,1276,0,0,3203,2980,1530,195,65,78,523,12,765,672,0,0,301,
,Yass Valley (A),4,0,661,30,3,3,3,0,0,0,0,4,0,46,6,9,17,4,11,17,3,10,6,81,5,0,103,181,5,52,19,12,6,254,179,103,27,320,73,0,0,0,0,10,0,4,37,21,5,7,0,52,201,0,166,0,0,245,160,134,21,0,14,31,0,58,57,0,0,38,
,Young (A),9,0,734,34,0,0,0,0,0,3,9,0,9,288,4,25,19,44,21,83,28,10,35,22,6,0,107,163,4,100,62,60,7,318,420,165,25,189,116,0,0,0,0,7,4,6,25,70,14,19,0,33,211,3,156,0,0,328,251,276,22,15,6,25,0,99,70,0,0,29,
,Unincorporated NSW,0,0,110,0,0,24,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,9,0,3,0,5,0,12,9,8,0,114,0,0,17,3,0,3,0,0,0,0,0,0,0,3,12,0,61,12,0,23,4,4,5,0,16,7,0,8,7,0,0,5,
,No fixed address,703,0,1551,842,454,269,33,177,26,38,55,103,83,1213,152,383,424,442,249,565,1025,318,937,467,181,16,15153,33691,1002,452,1021,1730,364,1304,2679,1273,1132,1569,6446,400,218,338,3,1244,102,202,2317,619,218,237,29,664,12633,13,1916,317,5,3475,2437,3515,565,535,1079,1449,221,4372,1077,4,3,2639,
,NSW Undefined,240,0,2038,128,90,65,14,307,10,50,36,49,34,444,79,143,157,131,93,274,315,76,395,126,35,4,1106,1421,96,143,172,368,114,1053,946,276,264,1229,795,175,60,106,0,185,58,31,238,222,91,96,17,168,1762,8,547,129,6,860,912,640,169,63,108,256,19,326,257,0,0,529,
,Melbourne Undefined,41,0,14,0,0,0,0,0,0,0,0,3,0,27,16,10,42,22,7,21,54,11,42,19,5,0,297,290,30,15,28,52,13,163,211,24,85,428,157,35,17,25,0,54,13,9,157,107,54,35,10,32,711,0,228,10,0,271,184,174,40,19,31,82,10,52,51,0,0,152,
,Alpine (S),4,0,478,13,63,0,3,0,0,0,0,0,0,130,36,282,10,3,25,22,12,22,23,72,4,0,125,138,3,23,19,36,4,312,228,107,22,697,74,0,0,3,3,39,0,3,25,48,0,5,0,64,219,0,154,3,0,338,364,81,8,4,39,41,0,104,39,0,0,31,
,Ararat (RC),4,0,809,38,0,0,4,0,0,0,0,0,0,173,92,3,13,3,11,37,196,6,21,5,13,0,81,109,10,77,13,48,0,308,212,110,21,144,73,4,0,0,0,12,4,0,29,36,9,13,0,23,99,0,272,0,0,329,394,141,9,0,15,21,0,66,220,0,0,20,
,Ballarat (C),34,0,331,49,24,0,4,0,0,91,19,49,14,1534,318,318,353,183,300,550,1555,194,300,141,162,0,873,1205,22,443,490,386,53,2608,3035,956,239,1798,698,92,0,10,0,124,25,17,802,432,177,217,16,434,2560,0,1696,33,0,3714,4431,1253,155,198,350,522,9,635,515,0,0,227,
,Banyule (C),29,0,34,9,4,0,0,0,3,0,0,0,0,224,243,182,409,289,59,576,907,214,341,19,0,0,635,1351,30,201,484,489,92,2363,2418,889,209,1173,314,18,4,6,0,74,28,6,266,354,83,321,25,368,2552,0,1146,631,0,3310,8172,1309,203,64,130,350,13,788,486,3,0,276,
,Bass Coast (S),4,0,592,27,7,13,3,0,6,4,19,0,0,119,9,28,46,13,22,64,206,32,37,22,46,0,357,425,12,110,40,126,5,629,623,193,65,764,135,0,0,0,0,37,0,4,65,77,13,19,0,161,331,0,284,0,0,519,684,280,33,10,169,118,9,171,112,0,0,61,
,Baw Baw (S),15,0,1742,84,33,11,8,0,0,3,11,6,3,286,21,107,76,172,42,80,169,75,95,12,14,0,356,498,15,179,240,277,13,761,725,356,84,591,300,20,4,0,0,33,3,3,120,147,18,53,5,119,630,0,446,0,0,1315,1062,404,57,33,44,117,0,379,155,0,0,98,
,Bayside (C),35,0,41,0,7,0,0,0,3,5,0,45,3,122,112,195,307,462,59,172,436,148,189,10,4,0,804,722,28,193,250,751,78,1365,1594,505,157,1488,357,17,10,5,0,156,24,15,161,332,108,313,53,494,3009,4,486,8,0,2322,2471,891,188,91,142,569,12,720,191,3,0,345,
,Benalla (RC),5,0,547,28,20,0,0,0,0,0,0,0,0,74,130,184,12,9,3,320,82,23,55,45,9,0,92,177,0,49,135,22,0,380,346,140,22,231,98,6,0,0,0,14,0,0,45,49,10,9,0,59,189,0,350,20,0,395,428,149,30,3,12,71,0,73,83,0,0,33,
,Boroondara (C),69,0,69,17,0,12,6,0,7,4,9,19,5,273,287,82,772,332,159,73,335,159,174,156,11,11,1514,1115,52,305,517,1331,154,4297,4244,1237,413,2390,404,56,15,309,0,382,29,18,831,1404,694,1516,106,1117,10277,15,1995,37,3,7321,4954,2542,422,223,268,863,22,1318,784,3,0,726,
,Brimbank (C),56,0,97,6,0,0,0,0,43,4,34,3,3,1199,743,396,681,1487,220,1618,1816,958,774,86,294,7,997,1934,69,793,1353,1300,285,3216,2723,958,263,960,2249,31,47,255,4,574,321,81,828,353,49,67,12,521,2432,0,1460,11,0,4304,2736,1406,149,108,53,305,3,590,702,0,0,544,
,Buloke (S),0,0,851,19,0,0,3,0,0,0,5,0,0,75,4,0,17,4,3,14,4,0,10,3,24,0,46,60,0,85,37,16,3,138,81,92,8,86,69,8,0,0,0,0,22,0,20,17,7,4,0,8,52,0,129,0,0,245,240,52,14,0,0,8,0,23,22,0,0,14,
