lga,Not stated,Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described","Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec (includes Bisorio,Bougainvillian, Huli)","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec (includes Marianas Islander, Marshallese, Palauan)","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec (includes French Polynesian, Pitcairn Islander, Wallisian)","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec (includes Falkland Islander)",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec (includes Alsatian, Breton, Walloon)","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec (includes Faeroese, Greenlandic, Saami)","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec (includes Andorran, Galician, Ladin)","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec (includes Aromani, Karakachani)","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec (includes Adygei, Khanty, Nenets)","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,"Arab, nec (includes Baggara, Bedouin, Omani)",Jewish,"Other North African and Middle Eastern, nfd",Assyrian/Chaldean,Berber,Coptic,Iranian,Kurdish,Sudanese,Turkish,"Other North African and Middle Eastern, nec (includes Azande, Madi, Nubian)","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer,Lao,Thai,Vietnamese,Karen,Mon,"Mainland South-East Asian, nec (includes Arakanese, Chin, Shan)","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec (includes Iban, Irian Jayan, Sumatran)","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec (includes Hui, Manchu, Yi)","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec (includes Ainu, Menba, Xiareba)","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Tamil,Maldivian,"Southern Asian, nec (includes Gurkha, Kashmiri, Marathi)","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,"Central Asian, nec (includes Chechen, Circassian, Ingush)","People of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec (includes Aleut, Inuit, Metis)","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec (includes Arawak, Carib, Surinamese)","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec (includes Belizean, Honduran, Panamanian)","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec (includes Bahamian, Grenadian, Haitian)","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,"Central and West African, nec (includes Fang, Fulani, Kongo)","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Dinka,Hutu,Masai,Nuer,Tigrayan,Tigre,Zulu,"Southern and East African, nec (includes Afar, Namibian, Tutsi)"
Tenterfield (A),373,5,0,0,0,0,0,0,0,0,2434,157,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2382,226,8,0,0,0,450,0,4,34,0,6,190,6,0,0,0,0,0,5,3,3,0,3,0,0,0,0,0,125,4,0,11,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,0,0,0,3,3,4,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumbarumba (A),358,3,0,0,0,0,0,0,0,0,1279,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1280,147,6,0,0,0,194,0,0,32,0,3,91,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,9,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumut Shire (A),696,5,0,0,3,0,0,0,0,0,4309,44,0,0,0,13,25,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3955,406,9,0,0,0,630,0,7,67,0,7,248,3,0,0,0,0,3,0,25,0,0,0,0,0,0,0,0,70,7,0,4,0,0,0,0,0,0,13,13,0,0,0,0,0,5,7,0,0,0,0,0,3,5,9,3,0,21,6,0,4,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,3,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Tweed (A),6190,70,6,9,9,3,0,0,58,0,26358,112,77,15,0,165,297,0,0,0,8,3,0,0,0,0,0,3,7,23,4,10,8,0,0,0,0,5,3,4,30663,3345,228,0,3,0,5292,0,66,574,0,130,1678,62,21,0,0,0,4,64,44,0,19,51,0,9,0,0,0,1025,126,9,66,0,0,0,0,3,3,74,169,10,0,0,18,0,69,21,5,0,0,8,3,38,12,95,29,30,122,78,3,30,0,0,8,0,0,12,3,0,0,50,0,0,0,0,0,0,0,0,6,0,5,0,0,19,0,0,10,9,0,0,0,3,0,0,3,62,19,0,0,0,0,185,33,0,0,16,0,0,0,3,0,0,3,0,0,0,0,349,3,0,0,95,14,0,3,0,0,7,4,8,0,0,252,0,3,9,12,0,17,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,85,38,4,3,3,0,0,14,3,0,11,6,3,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,9,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Hunter Shire (A),894,17,0,0,0,0,0,0,0,0,5316,6,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4890,464,15,0,0,0,676,0,9,58,0,12,218,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,79,12,5,7,0,0,0,0,0,3,5,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,10,4,0,8,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,3,20,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Lachlan (A),502,0,0,0,0,0,0,0,0,0,2895,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2547,252,3,0,0,0,530,0,3,34,0,3,97,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,28,20,0,3,0,0,0,0,0,0,10,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,9,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uralla (A),321,0,4,0,0,3,0,0,0,0,2226,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2159,207,7,0,0,0,415,0,4,45,0,7,135,3,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,28,10,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urana (A),87,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,56,3,0,0,0,126,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wagga Wagga (C),3347,35,0,6,43,5,0,0,3,0,22427,88,0,0,0,35,67,0,0,0,11,0,0,0,0,0,0,0,10,22,0,5,6,0,0,0,0,0,0,3,20021,2043,55,0,3,0,4203,0,35,329,0,49,1456,16,3,0,0,0,3,28,15,3,6,16,0,0,0,0,0,635,40,8,37,0,0,0,0,17,0,27,106,4,0,0,5,0,65,23,6,0,0,8,0,17,6,42,14,4,89,21,0,38,0,0,0,3,0,69,22,0,0,25,0,0,7,0,5,0,0,0,0,0,0,0,0,32,3,73,5,0,0,0,0,8,0,3,0,19,21,0,0,0,0,97,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,336,3,0,0,18,30,0,0,0,0,3,4,9,0,0,198,0,15,29,0,0,58,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,3,0,3,0,0,3,0,0,6,9,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,0,0,14,4,0,0,0,0,0,6,0,5,4,0,0,0,5,55,0,3,0,18,0,0,0,0,0,0,0,0,0,0
Wakool (A),364,6,0,0,0,0,0,0,0,0,1725,23,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1543,168,3,0,0,0,222,0,0,16,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walcha (A),145,0,0,0,0,0,0,0,3,0,1399,7,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1209,137,0,0,0,0,158,0,0,10,0,3,53,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgett (A),756,10,0,0,0,4,0,0,0,0,2687,323,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,2018,210,6,0,0,0,304,0,15,28,0,3,138,6,0,0,0,0,0,12,8,0,5,14,0,8,0,0,0,31,3,0,3,0,0,0,0,12,0,41,16,4,0,0,3,0,73,5,0,0,0,0,0,13,0,21,3,0,15,0,7,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren (A),213,3,0,0,0,0,0,0,0,0,1237,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,98,0,0,0,0,166,0,3,7,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warringah (A),8653,99,10,11,43,31,0,0,51,0,34014,15,7,3,0,433,657,0,0,0,20,0,0,0,0,0,0,4,35,97,9,94,397,3,0,0,0,0,12,21,46538,5179,352,3,3,0,7857,0,207,1366,4,492,2446,196,53,0,0,0,10,195,105,0,63,194,0,16,0,3,0,5953,169,125,354,0,0,6,3,73,24,759,898,133,0,6,54,0,986,40,30,0,0,32,3,198,53,279,60,44,480,279,98,128,0,0,3,42,7,94,24,7,0,310,0,27,11,0,22,0,0,0,21,0,13,3,0,278,26,4,93,19,0,0,0,16,0,18,11,238,218,0,8,0,0,905,194,0,0,48,0,0,0,3,0,0,12,0,3,0,0,4036,26,0,0,613,627,0,150,0,0,23,18,37,3,0,726,0,17,23,20,6,89,9,0,0,0,63,1397,0,0,0,0,4,0,0,0,0,0,0,0,0,7,277,189,19,25,7,0,0,36,44,3,202,106,42,13,4,131,13,28,0,4,0,10,3,4,0,3,0,0,30,0,13,3,0,3,6,0,0,0,3,11,0,0,0,4,3,8,16,0,8,8,6,0,29,0,0,3,0,621,0,0,0,20,0,0,0,0,0,0,0,0,0,4
Warrumbungle Shire (A),703,5,0,0,0,0,0,0,0,0,4070,34,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3565,332,19,0,0,0,523,0,6,49,0,5,189,12,0,0,0,0,0,5,5,0,0,4,0,0,0,0,0,43,9,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,3,4,0,0,0,0,0,3,4,15,0,0,15,4,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,7,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waverley (A),10841,77,9,3,29,182,4,0,0,0,9641,13,0,0,0,160,370,0,0,0,8,4,0,0,0,0,0,3,7,28,0,16,9,0,0,0,0,0,10,10,14347,1742,130,0,0,0,3931,4,262,319,0,473,1472,90,22,0,0,4,10,41,37,0,42,95,0,13,0,9,0,1582,137,222,289,0,0,4,8,5,23,248,1157,33,0,3,192,0,179,24,28,0,0,156,10,261,28,1053,48,232,971,1504,102,186,0,0,41,10,3,67,98,3,0,190,3,36,18,0,7,3,0,0,833,0,10,0,0,71,3,11,112,494,3,0,0,11,0,4,4,104,73,0,0,0,0,212,58,0,0,23,0,3,0,3,0,0,36,0,0,3,0,1338,22,0,0,292,244,4,0,0,0,0,14,20,0,0,301,0,14,14,0,0,63,3,0,6,0,3,23,3,0,0,5,12,0,0,0,0,0,0,4,0,8,225,87,0,18,3,0,0,53,40,4,115,73,72,7,0,23,34,15,3,0,0,34,0,0,0,0,0,0,4,3,6,4,0,3,3,0,0,0,5,3,0,0,0,0,8,0,3,0,0,0,0,0,31,0,0,0,0,1685,0,0,0,21,0,0,0,0,3,0,0,0,0,0
Weddin (A),190,3,0,0,0,0,0,0,0,0,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1474,140,0,0,0,0,201,0,0,20,0,0,58,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington (A),666,7,0,0,0,0,0,0,0,0,3504,13,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2811,217,8,0,0,0,454,0,7,31,0,3,147,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,43,18,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,7,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth (A),567,0,0,0,5,0,0,0,4,0,2496,136,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,2323,223,5,0,0,0,352,0,0,26,0,3,178,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,259,5,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willoughby (C),4766,40,18,17,10,30,3,0,3,0,11847,6,0,0,0,59,338,0,0,0,7,0,0,0,0,0,0,3,7,23,0,3,8,0,0,0,0,0,10,9,15853,1862,88,3,0,0,3341,0,129,315,0,206,955,84,25,0,0,0,4,70,43,0,21,48,0,6,0,0,0,1734,60,52,116,0,0,0,0,9,33,524,691,127,0,3,67,0,173,20,6,0,0,18,0,82,42,337,33,31,267,210,32,46,0,0,4,19,10,65,8,0,0,414,0,3,9,0,15,0,0,3,43,0,19,0,0,363,6,6,67,28,0,0,0,4,0,14,8,226,120,0,0,4,0,433,136,0,0,86,0,4,0,0,0,0,10,0,0,0,0,9960,151,0,0,1381,1726,0,0,0,0,5,21,33,0,3,958,0,103,53,3,0,138,24,0,9,0,20,1056,0,0,0,0,7,0,0,0,0,0,0,0,0,0,135,54,3,13,0,0,0,22,28,0,33,52,49,4,0,35,9,6,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,6,7,0,25,0,0,0,0,254,0,0,0,16,0,0,0,0,0,0,0,0,0,12
