lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfu/Darfurian,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi (Ma'di),Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
Glenelg (S),0,0,6154,26,0,0,0,26,45,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8333,928,25,0,0,0,1229,0,7,235,0,12,590,7,3,3,0,0,0,6,3,0,3,3,0,0,0,0,0,134,54,3,11,0,0,4,0,0,0,19,24,0,0,0,6,0,0,0,3,0,0,0,0,6,3,12,3,3,25,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,61,5,0,0,3,0,4,0,0,0,0,0,0,0,0,0,63,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,0,0,4,0,0,0,0,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,26,0,7,9,4,0,0,1201
Golden Plains (S),0,0,5665,5,0,0,0,9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7690,898,29,0,0,0,1284,0,10,309,0,22,516,10,7,0,0,0,0,10,7,0,8,3,0,0,0,0,0,310,88,4,22,0,0,26,0,4,0,102,47,17,0,0,14,0,37,10,6,0,0,5,0,21,0,52,7,11,51,19,3,39,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,8,0,0,1147
Greater Bendigo (C),7,0,30903,67,0,0,0,70,114,0,0,0,11,4,0,0,0,0,0,0,5,29,0,4,9,0,0,3,0,0,0,3,42707,3846,146,0,3,0,7933,0,41,676,0,97,2024,38,10,0,0,0,5,49,19,0,24,41,0,3,0,0,0,1636,148,16,56,0,0,29,5,6,4,86,207,30,0,0,9,0,25,22,13,0,0,3,0,15,13,63,43,10,149,46,7,40,0,0,6,9,0,41,3,0,0,29,0,0,3,3,7,0,0,0,0,0,0,0,4,0,0,0,0,0,13,11,0,0,0,3,25,0,24,4,3,0,0,3,0,0,0,55,0,10,0,51,64,238,0,3,0,0,0,257,39,0,0,24,0,0,0,0,0,0,5,0,0,0,0,722,0,0,0,24,31,5,0,0,0,9,13,3,0,0,335,4,18,25,0,0,27,0,18,3,9,0,0,0,124,6,0,5,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,0,0,4,0,0,0,0,0,3,6,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,21,0,0,0,3,0,88,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,118,4,17,37,17,0,0,6209
Greater Dandenong (C),108,0,11303,23,10,0,0,504,254,4,0,0,12,0,0,3,0,0,0,13,529,154,15,655,69,0,0,0,9,0,3,28,17055,1757,99,0,3,0,2550,0,114,980,0,471,1281,30,13,3,0,0,8,35,36,0,19,17,0,20,0,0,0,4520,531,280,623,0,0,304,1546,1438,32,1078,3832,436,6,20,554,14,2420,100,210,0,0,11,10,88,5,684,24,29,1176,505,65,221,0,0,20,372,0,348,286,18,6,963,0,10,85,11,46,6,6,0,0,0,0,0,38,42,0,0,43,25,268,704,11,0,0,9,237,69,1711,33,17,0,0,11,3,0,0,627,0,5227,227,305,12091,94,0,0,0,0,0,1656,316,0,0,191,0,191,0,0,8,0,18,0,22,0,0,12950,12,13,0,78,132,22,8,0,0,223,429,71,30,19,9250,12,157,668,451,270,1360,3,293,0,160,3,0,3,3760,164,10,619,11,23,0,2189,248,3,0,59,8,6,611,11,0,3,52,4,0,45,0,6,39,20,0,39,0,0,0,43,102,0,19,609,35,0,9,31,34,7,0,3,0,8,0,173,0,0,0,3,5,0,3,3,3,0,0,0,0,0,5,11,32,4,0,31,17,6,0,26,0,0,0,0,0,0,0,10,3,4,3,143,232,38,4,1291,0,0,103,60,223,254,3,3,8,60,0,3,0,0,3,0,0,65,0,0,0,4,3,0,0,18,237,29,86,334,52,5,11,11221
Greater Geelong (C),8,0,55483,59,4,0,0,195,363,0,0,5,7,3,0,0,5,9,0,0,13,21,0,46,15,0,0,0,7,0,3,31,78020,9638,468,0,0,0,14950,0,247,3292,0,227,5342,97,31,0,0,0,13,136,104,0,71,105,0,12,0,0,0,7069,699,176,539,0,0,322,72,292,20,3029,1251,1368,0,4,61,8,914,387,80,0,0,19,8,94,41,621,129,173,1427,350,34,741,0,3,4,59,7,67,55,0,0,210,14,3,0,6,17,0,0,0,0,0,0,0,11,11,0,0,11,3,60,112,0,0,0,0,193,6,336,7,0,0,0,8,0,0,3,63,3,62,73,178,473,338,0,0,3,5,0,928,111,3,0,179,0,7,0,0,0,0,20,0,3,0,0,1984,0,0,0,130,103,4,3,0,0,24,25,25,0,0,1176,0,12,112,23,0,70,3,38,0,14,3,0,0,198,16,0,10,0,0,0,80,26,0,0,5,0,0,26,0,0,4,0,3,0,3,0,8,150,65,7,7,6,0,0,13,8,4,15,31,11,0,0,6,11,4,0,0,0,6,0,8,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,0,0,19,0,0,0,65,0,0,0,0,0,0,0,3,0,15,0,3,10,11,0,75,0,0,0,3,0,309,0,11,0,41,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,262,10,15,106,68,3,4,12657
Greater Shepparton (C),7,0,16237,98,3,0,0,61,97,0,0,3,3,0,0,0,0,0,0,0,9,6,0,95,24,0,0,6,3,0,0,4,21284,2109,38,0,4,0,3769,0,19,529,0,40,930,32,5,0,0,0,3,19,7,0,9,11,0,7,0,0,0,4020,58,8,45,0,0,27,609,3,9,78,416,248,0,0,16,0,32,9,10,0,0,0,0,11,3,46,15,13,79,24,12,6,0,0,11,282,0,3,433,0,10,12,0,11,0,0,0,0,4,0,0,0,0,0,3,13,0,0,0,0,14,96,10,0,0,0,16,4,540,0,0,0,0,0,0,0,0,0,0,3,0,60,10,0,0,0,0,0,0,209,19,3,0,27,0,3,0,0,0,0,0,0,0,0,0,359,4,0,0,10,18,0,0,0,0,16,7,7,0,0,789,0,20,43,72,7,21,0,13,0,8,0,0,0,66,0,0,23,0,0,0,385,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,24,16,0,0,0,3,0,0,0,0,0,4,4,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0,0,0,103,0,5,0,0,0,0,0,5,0,4,0,0,3,9,0,11,0,0,0,0,0,44,0,0,7,13,0,3,0,0,0,0,0,8,0,0,0,0,0,4,0,0,72,0,23,104,7,0,0,4749
Hepburn (S),0,0,3629,3,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5956,715,32,0,0,0,1245,0,12,240,0,37,349,29,5,0,3,0,0,19,22,0,4,8,0,0,0,3,0,339,67,0,9,0,0,11,9,4,0,57,51,24,0,0,4,0,33,7,3,0,0,3,7,9,5,34,4,3,39,22,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,0,5,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,5,0,0,0,979
Hindmarsh (S),0,0,1859,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,2192,196,3,0,0,0,259,0,3,37,0,4,633,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,0,0,0,7,0,21,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,336
Hobsons Bay (C),14,0,15204,7,0,0,0,364,292,0,0,0,8,0,0,0,0,0,0,7,33,32,3,72,77,0,0,0,0,3,0,21,21448,2832,142,3,3,0,4571,0,115,448,0,138,1403,24,16,0,0,0,0,46,55,0,33,49,0,9,0,0,0,5109,2765,128,190,0,0,165,303,76,16,1102,3075,1321,0,8,162,0,656,105,97,0,0,23,12,52,10,190,47,33,741,167,243,140,0,0,18,121,0,141,58,0,0,2357,38,16,24,0,42,3,0,0,0,0,0,0,4,3,0,0,0,0,9,91,0,0,0,0,68,5,137,8,5,0,0,14,0,0,0,101,3,154,40,149,1406,318,0,54,0,20,0,1114,164,5,0,71,0,10,0,0,0,0,13,0,3,0,0,2420,6,0,0,83,97,0,8,0,0,38,49,20,0,0,2307,0,109,84,64,48,43,0,81,0,16,0,0,0,149,3,0,14,3,0,0,11,6,0,0,3,0,4,0,0,0,0,0,0,0,13,3,8,66,37,0,9,0,0,0,11,42,0,30,116,73,6,5,25,24,4,0,0,0,25,0,19,0,0,0,0,3,4,3,0,0,0,0,3,0,0,0,4,13,0,0,0,4,0,0,11,0,0,0,0,0,0,0,8,0,3,0,80,175,6,0,158,0,0,9,10,47,131,0,0,0,13,8,0,0,0,0,0,0,4,0,0,0,0,3,0,0,4,96,7,19,69,21,0,3,5486
Horsham (RC),0,0,6056,6,0,0,0,5,20,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7733,766,20,0,0,0,1166,0,4,135,0,23,1226,7,0,0,0,0,3,0,3,0,8,3,0,0,0,0,0,357,11,3,9,0,0,6,0,0,0,8,28,0,0,0,3,0,0,0,3,0,0,0,0,0,4,12,3,3,27,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,3,0,0,0,0,0,0,0,11,0,0,0,3,0,14,0,0,0,0,0,46,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,8,0,0,0,0,0,0,0,0,0,0,110,0,0,18,0,0,6,0,8,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,22,0,0,15,0,0,0,1130
Hume (C),99,0,26719,53,8,0,0,377,354,0,0,9,15,3,0,0,11,4,0,5,109,185,20,1242,144,0,0,3,0,0,3,15,33502,3421,133,0,5,0,5991,0,127,622,0,138,1933,47,13,0,0,0,5,39,102,0,26,40,0,19,0,0,0,14365,3192,379,564,3,0,163,125,238,11,1442,3561,896,0,11,54,9,654,206,580,0,0,14,8,48,9,273,47,25,778,150,30,451,0,0,73,1238,47,718,3837,87,6,6364,4,39,222,7,630,12,12,17,0,0,0,0,5,12,0,0,0,0,0,19,0,35,11,20,155,396,12781,2940,2354,0,0,4,12,0,4,31,485,36,64,152,1645,3,0,0,0,3,0,2302,126,20,0,153,0,178,3,0,4,0,41,0,10,0,0,1858,5,0,0,49,47,8,3,0,0,144,249,32,3,3,4381,20,159,618,212,159,1218,0,132,105,198,14,0,3,1570,16,3,92,4,5,0,59,84,3,0,10,20,0,20,0,3,36,0,0,0,14,0,6,81,68,4,19,3,0,0,48,68,5,3,183,33,3,0,58,45,4,0,3,4,12,0,214,3,3,7,0,3,0,0,0,3,0,0,0,0,7,0,38,47,0,0,3,4,0,0,0,0,0,0,0,0,0,0,15,0,12,0,207,46,9,0,137,0,0,81,19,344,151,0,3,5,66,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,12,252,14,68,145,43,13,3,12174
Indigo (S),0,0,4602,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6319,660,31,0,0,0,1223,0,22,151,0,17,472,12,0,3,0,0,3,9,3,0,6,12,0,0,0,0,0,185,12,4,11,0,0,6,0,0,0,33,16,4,0,0,0,0,8,4,0,0,0,0,0,10,4,17,4,7,33,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,1091
Kingston (C),22,0,27949,18,3,3,0,322,454,0,0,0,14,0,0,0,0,14,3,12,172,88,5,94,11,0,7,0,0,0,4,29,42058,5086,234,0,3,0,8222,0,166,1081,0,383,2665,87,32,0,0,0,8,91,57,0,56,53,0,7,0,4,0,6114,449,225,331,0,0,147,24,163,30,755,7478,174,9,11,161,0,482,98,406,0,0,30,34,180,10,530,79,94,1037,1226,47,288,0,0,10,132,0,331,92,14,0,536,0,11,28,27,31,0,4,0,0,0,0,0,377,0,0,0,0,3,0,37,0,3,0,4,114,3,862,24,27,0,0,105,0,0,0,54,5,789,90,177,1162,9,0,0,0,7,0,1244,163,0,0,137,0,76,0,3,0,0,14,0,14,0,0,6591,5,0,0,265,266,0,0,0,0,63,411,28,23,0,4458,3,66,136,114,76,261,0,145,0,86,3,0,3,1215,36,0,166,8,9,0,75,174,19,0,0,4,10,0,0,3,0,0,5,0,21,3,8,153,68,3,3,3,0,0,44,83,3,57,214,75,0,0,33,25,8,0,0,0,22,0,31,0,3,0,0,3,6,9,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,20,27,27,0,586,0,0,26,50,14,615,3,3,4,66,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,152,39,27,87,63,0,10,8082
Knox (C),9,0,33161,22,6,0,0,165,366,0,0,0,3,0,0,0,3,16,0,10,18,50,4,87,81,0,0,0,0,0,0,25,47465,5098,265,3,3,0,7164,0,278,2307,6,299,3949,106,24,0,0,0,0,95,47,0,37,51,0,3,0,0,0,6092,496,102,321,0,0,152,20,89,39,559,2566,237,0,6,193,0,394,115,205,0,0,16,3,117,25,726,186,36,1018,254,52,114,0,9,15,83,3,513,84,8,0,422,0,12,46,0,35,0,0,0,0,0,0,0,18,10,0,0,0,7,11,11,0,0,0,24,377,18,177,11,7,0,0,17,0,0,0,46,0,385,182,197,849,26,0,0,0,0,0,1222,170,0,0,253,0,10,0,0,0,0,74,0,44,0,0,10939,39,0,0,111,315,0,10,0,0,84,187,18,11,7,3789,5,131,167,67,100,738,0,73,0,81,0,3,0,1933,136,4,284,3,13,0,325,283,0,0,14,0,0,0,7,0,0,0,6,0,21,4,6,119,49,7,5,3,0,0,52,42,0,22,214,27,0,5,36,14,3,0,0,0,14,0,49,0,0,0,0,5,7,3,4,3,0,3,0,0,0,0,15,7,3,0,3,0,0,0,4,0,7,0,0,0,0,0,6,0,34,0,4,9,19,0,348,6,0,0,31,10,695,0,0,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,183,36,39,93,39,3,0,6299
Latrobe (C),3,0,20722,66,0,0,0,100,97,0,0,3,10,0,0,0,0,0,0,4,20,13,3,35,14,0,0,0,0,0,4,14,27091,3402,113,0,0,0,3918,0,73,1600,3,70,1828,27,17,0,0,0,3,33,13,0,19,16,0,0,0,3,0,2465,898,25,93,0,0,92,4,22,5,147,453,8,0,0,21,0,64,38,79,0,0,7,3,24,12,99,45,34,433,81,17,137,0,0,0,6,3,33,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,3,9,0,0,0,13,90,185,0,0,0,5,11,0,12,0,0,0,0,3,0,0,0,13,0,11,0,32,38,0,0,0,0,0,0,352,26,0,0,31,0,7,0,0,0,0,3,0,0,0,0,547,0,0,0,42,8,0,0,0,0,6,7,5,0,3,279,0,20,32,4,0,14,0,54,0,16,0,0,0,61,0,0,6,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,48,28,4,0,3,0,0,9,0,0,3,14,7,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,25,0,0,0,4,3,74,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,25,93,26,0,0,5170
Loddon (S),0,0,2420,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3107,387,6,0,3,0,452,0,3,56,0,8,158,13,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,67,19,0,3,0,0,5,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,6,5,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,540
Macedon Ranges (S),0,0,11760,3,0,3,0,25,92,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,8,17084,1926,98,3,3,0,3492,0,48,382,0,58,1079,42,4,0,0,0,0,41,30,0,9,22,0,0,0,0,0,1204,473,19,39,0,0,20,6,3,4,124,197,36,0,4,4,0,40,50,26,0,0,4,0,21,13,68,31,22,191,35,7,56,0,0,3,0,0,11,0,0,4,38,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,5,0,0,0,18,13,0,0,0,0,0,0,48,9,0,0,15,0,0,0,0,0,0,9,0,4,0,0,161,0,0,0,20,0,0,0,0,0,0,7,0,0,0,74,0,0,8,0,0,3,0,0,0,12,0,0,0,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,47,16,0,0,0,0,0,4,6,0,0,9,0,0,0,0,11,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,13,0,0,0,3,0,55,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,6,13,0,0,2138
Manningham (C),11,0,15857,15,0,0,0,31,197,0,0,0,7,0,0,0,0,0,0,0,3,7,3,18,21,0,3,0,0,4,8,21,24442,2550,114,0,0,0,4277,0,164,761,0,150,1729,67,15,0,0,0,3,48,25,0,26,39,0,3,0,3,0,11625,459,111,193,0,0,63,276,29,28,684,8783,895,3,4,132,0,254,182,522,3,0,23,0,94,32,303,111,75,534,171,34,114,0,0,27,101,0,649,70,20,0,999,0,6,142,5,110,0,0,0,0,0,0,0,98,0,0,0,0,8,10,25,0,0,0,18,1218,17,278,27,3,0,0,19,3,0,0,15,0,26,18,88,603,0,0,0,0,0,0,341,82,0,0,231,0,11,0,0,0,0,23,0,58,0,0,18768,172,0,0,172,738,0,16,0,0,32,51,21,4,6,2001,12,18,223,117,57,151,0,24,0,52,5,0,14,522,55,0,98,0,0,0,47,122,0,0,3,0,6,0,0,0,4,11,0,6,13,0,5,91,40,4,8,0,0,0,16,25,3,23,91,25,0,4,12,9,9,0,0,0,23,0,7,0,0,0,0,3,0,8,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,13,11,3,83,0,0,0,9,3,677,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,74,32,17,55,45,0,0,4544
